,Excluded:,Unnamed: 1,Unnamed: 2,Section,Code,Page,SubCode,Text,Required/Core or Improvement,# of points,Notes,Agronomic Practices,Biosecurity/Sanitation,Planning,Application Restrictions,Education/training,Monitoring,Record-Keeping,Worker Safety,Materials/Waste Mgmt,Prohibited Practice,Prohibited Material,Limited Use Substances,Phase Out,Pesticide Practices,Threshold,Performance Standard,Non-Quantitative Performance Standards,Unnamed: 25,Differentiated Standards,Applies to Small Farms,Applies to Medium Farms ,Applies to Large Farms,CertName,Performance: Improvement,Unnamed: 26,Follow the law,Unnamed: 20,Biosecurity,Unnamed: 23,Unnamed: 24
35,,,,CROPS BASE,7.7,56.0,5,,Required,,Minor Must,,,,,,,,,pesticide storage area is well lit,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
36,,,,CROPS BASE,7.7,57.0,6,,Required,,Minor Must,,,,,,,,,pesticide storage area is away from food-handling areas,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
37,,,,CROPS BASE,7.7,57.0,7,,Required,,Minor Must,,,,,,,,,pesticide shelves are non-permeable,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
38,,,,CROPS BASE,7.7,57.0,8,,Required,,Minor Must,,,,,,,,,pesticide storage area has spill catchment,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
39,,,,CROPS BASE,7.7,57.0,9,,Required,,Minor Must,,,,,,,,,pesticide storage area has spill containment materials,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
40,,,,CROPS BASE,7.7,57.0,10,,Required,,Minor Must,,,,,only trained workers can enter pesticide storage area,,,,only trained workers can enter pesticide storage area,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
41,,,,CROPS BASE,7.7,57.0,11,,Required,,Minor Must,,,,,,,,,pesticides for certified crops stored away from others,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
42,,,,CROPS BASE,7.7,57.0,12,,Required,,Minor Must,,,,,,,,,powders stored above liquids,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
43,,,,CROPS BASE,7.7,57.0,13,,Required,,Minor Must,,,,,,,pesticide inventory is up to date,,,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
44,,,,CROPS BASE,7.7,58.0,14,,Required,,Minor Must,,,accident procedure is posted near pesticide storage,,,,,,accident procedure is posted near pesticide storage,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
45,,,,CROPS BASE,7.7,58.0,15,,Required,,Minor Must,,,,,,,,washing facilities for workers who handle pesticides,,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
46,,,,CROPS BASE,7.8,58.0,1,,Required,,Minor Must,,,,,,,,workers who handle pesticides: get annual health checks,,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
47,,,,CROPS BASE,7.8,58.0,2,,Required,,Major Must,,,,,,,,re-entry intervals after pesticide application observed,,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
48,,,,CROPS BASE,7.8,58.0,3,,Required,,Minor Must,,,,,,,,,pesticides transported safely,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
49,,,,CROPS BASE,7.8,58.0,4,,Required,,Minor Must,,,,,,,,,pesticides mixed safely,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
50,,,,CROPS BASE,7.9,59.0,1,,Required,,Major Must,,,,,,,,,"pesticide containers triple-rinsed, rinsate disposed of properly",,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
51,,,,CROPS BASE,7.9,59.0,2,,Required,,Minor Must,,,,,,,,,"pesticide containers not reused, except for identical pesticide",,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
52,,,,CROPS BASE,7.9,59.0,3,,Required,,Minor Must,,,,,,,,,empty containers stored securely,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
53,,,,CROPS BASE,7.9,59.0,4,,Required,,Minor Must,,,,,,,,,empty containers disposed of securely,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
54,,,,CROPS BASE,7.9,59.0,5,,Required,,Minor Must,,,,,,,,,empty containers disposed of securely,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
55,,,,CROPS BASE,7.9,59.0,6,,Required,,Major Must,,,,,,,,,empty containers disposed of in accordance to laws,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
56,,,,CROPS BASE,7.1,60.0,1,,Required,,Minor Must,,,,,,,,,old pesticides disposed of properly,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
57,,,,CROPS BASE,8.1,61.0,,,Required,,Minor Must,,,,,,,,,,,,,,sprayer calibration 1x/year,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
58,,,,CROPS BASE,8.2,62.0,,,Required,,Minor Must,,,,,,,,,,,,,,sprayer calibration 1x/year,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
59,,,,CROPS BASE,8.4,63.0,,,Required,,Minor Must,,,,,,,,,equipment stored safely,,,,,,,,,,,,,,Global GAPS,nan,nan,nan,nan,nan,nan,nan
0,,,,SR-WC4: Worker Safety and Training,4,7,1,"Employer provides appropriate Personal Protective Equipment (PPE) to all applicable workers at no cost. • For farms:  respirators with filters, goggles, rubber boots, water-proof gloves, impermeable clothing • For dry mills: goggles, ear plugs, mask",Scorecard,1.0,,,,,,,,,workers who handle pesticides have ppe,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
1,,,,SR-WC4: Worker Safety and Training,4,7,2,"Anyone handling or applying agrochemicals and operating machinery uses the appropriate protective equipment. • When applying pesticides, workers use respirators with filters, goggles, rubber boots, water-proof gloves, and impermeable clothing (SR-WC4.1). • When applying chemical fertilizers, workers use rubber boots, and if appropriate,  gloves and protective goggles.",Scorecard,1.0,,,,,,,,,workers who handle pesticides use ppe,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
2,,,,SR-WC4: Worker Safety and Training,4,7,3,"Health and safety training occurs for all workers at least once a year, free of charge, and during regular working hours. Training is documented including instructors, agendas and attendance.",Scorecard,1.0,,,,,,"workers get safety training, 1x/year",,,workers get safety training,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
3,,,,SR-WC4: Worker Safety and Training,4,7,4,"Training covers, at a minimum: use of protective equipment, safe handling of hazardous materials, operation of equipment and personal safety and hygiene.",Scorecard,1.0,,,,,,"workers workers workers trained to use ppe, workers trained to handle pesticides",,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
4,,,,SR-WC4: Worker Safety and Training,4,7,6,"Management maintains written injury reports. The written injury reports include the type of injury, name of worker, time and date, and location of the accident.    ",Scorecard,1.0,,,,,,,,records of all injury incidents,records of all injury incidents,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
5,,,,SR-WC4: Worker Safety and Training,4,7,7,Management reviews accident and injury records at least annually and updates safety procedures and training materials to prevent accident and injury re-occurrence.,Scorecard,1.0,,,,records of accidents used to change safety plans,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
6,,,,SR-WC4: Worker Safety and Training,4,7,8,"Anyone who handles, mixes, or applies agrochemicals has convenient access to eye baths, soap, sinks for hand washing, showers, and clothes washing facilities.",Scorecard,1.0,,,,,,,,,access to washing stations for pesticides,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
7,,,,SR-WC4: Worker Safety and Training,4,7,9,"Authorized minors (minors older than 14) and pregnant women are prohibited from handling or applying agrochemicals, operating heavy machinery and/or heavy lifting.",Scorecard,1.0,,,,,,,,,"workers who handle pesticides must be: >18 years old, not pregnant",,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
8,,,,SR-WC4: Worker Safety and Training,4,7,10,Entrance is prohibited to areas where pesticides were applied 48 hours prior without protective equipment.,Scorecard,1.0,,,,,,,,,48 hour exclusion period after pesticide use,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
9,,,,CG-WR1.1,1,8,9,CG-WR1.9 No agrochemicals are applied within 5 meters of any permanent water body. ,Scorecard,1.0,,5 meter spraying buffer for all waterbodies,,,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
10,,,,CG-WR1.1,1,8,10,CG-WR1.10 Nematicides are NOT applied within 20 meters of any permanent water body.,Scorecard,1.0,,20 meter spraying buffer for all waterbodies (neematicides),,,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
11,,,,CG-CB3: Conservation Areas,3,11,2,"Farm has made an assessment of areas of high conservation value (areas with significant intact forest, primary forest canopy cover, rare flora and fauna communities, important habitat elements, critical watershed values, importance to local communities’ traditional cultural identity).",Scorecard,1.0,,,,assessment of conservation areas on farm,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
12,,,,CG-CB3: Conservation Areas,3,11,3,EXTRA POINT: Farm has had an assessment completed by ecologists and/or biologists for areas of high conservation value.,Scorecard,1.0,Bonus,,,professional assessment of conservation areas on farm,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
13,,,,CG-CB3: Conservation Areas,3,11,4,"Areas of high conservation value are clearly defined, protected, and managed to maintain their high conservation values",Scorecard,1.0,,,,farm has plan for conservation areas,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
14,,,,CG-CB3: Conservation Areas,3,12,5,"EXTRA POINT: If areas of high conservation value do not exist on the farm, managers have implemented a plan to restore natural habitat or conditions on a portion of the farm (ecological restoration).",Scorecard,1.0,Bonus,,,habitat restoration on farm,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
15,,,,CG-CB3: Conservation Areas,3,12,7,At least 5% of the total farm area is set aside as a conservation emphasis area or as required by local law,Scorecard,1.0,,natural areas on farm at least 5% of farm area,,,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
16,,,,CG-CB3: Conservation Areas,3,12,8,EXTRA POINT: More than 10% of the total farm area is set aside as a conservation emphasis area or as required by local law.,Scorecard,1.0,Bonus,natural areas on farm at least 10% of farm area,,,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
17,,,,CG-CB3: Conservation Areas,3,12,9,"EXTRA POINT: If multiple areas of high conservation value exist on the farm, biological corridors are established to connect these conservation value areas.",Scorecard,1.0,Bonus,habitat corridors between natural areas,,,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
18,,,,CG-CB3: Conservation Areas,3,12,10,"Multiple plant species that contribute to biodiversity have been planted where space allows within the farm (e.g., borders, roads, trails, paths, etc.).",Scorecard,1.0,,marginal areas in farm planted for biodiversity,,,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
19,,,,CG-EM1: Ecological Pest and Disease Control,1,12,1,"ZERO TOLERANCE: Farm does not handle pesticides that are listed by the World Health Organization as Type 1A or 1B, or that are banned according to national, regional, or local laws.",Required,,,,,,,,,,,,,"who: 1a, who: 1b, any pesticides prohibited by law",,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
20,,,,CG-EM1: Ecological Pest and Disease Control,1,12,2,"Farm keeps purchase records of pesticides, specifying date, product, product formulation, quantity, supplier, and price of purchase for each pesticide.",Scorecard,1.0,,,,,,,,records of pesticides bought and stored,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
21,,,,CG-EM1: Ecological Pest and Disease Control,1,12,3,Agrochemicals are stored in a locked place with controlled access and separate from food products and living and social areas,Scorecard,1.0,,,,,,,,,,pesticides stored safely,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
22,,,,CG-EM1: Ecological Pest and Disease Control,1,12,4,Agrochemical storage site has proper ventilation.,Scorecard,1.0,,,,,,,,,,pesticides stored safely (ventilation),,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
23,,,,CG-EM1: Ecological Pest and Disease Control,1,12,5,Agrochemicals that are stored have original manufacturer's labels and are clearly organized and separated according to toxicity and use.,Scorecard,1.0,,,,,,,,,,pesticides correctly labelled,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
24,,,,CG-EM1: Ecological Pest and Disease Control,1,12,6,"Agrochemical storage site has safeguards to control spills (e.g., physical barriers to prevent external contamination).",Scorecard,1.0,,,,,,,,,,pesticides stored safely (spill mitigation),,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
25,,,,CG-EM1: Ecological Pest and Disease Control,1,12,7,There are contingency plans for handling pesticide spills and overexposure.,Scorecard,1.0,,,,pesticide spill plans,,,,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
26,,,,CG-EM1: Ecological Pest and Disease Control,1,12,8,"Agrochemicals are mixed and spraying equipment loaded in ventilated areas. If products are mixed in the field, because of distance from storage, precautions are taken and plans are in place to handle accidents, spills or contamination.",Scorecard,1.0,,,,,,,,,,safe pesticide mixing and loading station,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
27,,,,CG-EM1: Ecological Pest and Disease Control,1,12,9,Farm has an Integrated Pest Management (IPM) plan for monitoring for pests and diseases and symptoms of nematode infestation.,Scorecard,1.0,,,,ipm plan exists,,,monitoring for pests and diseases,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
28,,,,CG-EM1: Ecological Pest and Disease Control,1,12,10,Farm takes physical action to control sources of infestation,Scorecard,1.0,,physical action against pests,,"ipm plan exists, is written",,,regular monitoring for pests and diseases,,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
29,,,,CG-EM1: Ecological Pest and Disease Control,1,12,11,"Pesticides (not including herbicides) are applied only on a spot-application basis, depending on the type and severity of infestation. ",Scorecard,1.0,,,,,,,,,,,full field pesticide applications,,,,pesticides spot-applied,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
30,,,,CG-EM1: Ecological Pest and Disease Control,1,12,12,Pesticides (not including herbicides) are only applied as a last resort (after cultural and physical controls have failed).,Scorecard,1.0,,,,,,,,,,,,,"pesticides used ""as last resort""",,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
31,,,,CG-EM1: Ecological Pest and Disease Control,1,13,13,"Farm maintains records of pesticide application specifying the date, product, product formulation, quantity, and location or area of the farm for each pesticide application.",Scorecard,1.0,,,,,,,,records of all pesticide use,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
32,,,,CG-EM1: Ecological Pest and Disease Control,1,13,14,Farm maintains written records of total toxic load calculation for productive area on the farm.,Scorecard,1.0,,,,,,,,calculate toxicity load of pesticide applications,,,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
33,,,,CG-EM1: Ecological Pest and Disease Control,1,13,15,EXTRA POINT: Total toxic load is decreased over time by reducing pesticide use or selecting less toxic alternatives. ,Scorecard,1.0,bonus,,,,,,,,,,,,,,,,,,nan,,,,,CAFE,total toxic load descreases over time,,nan,nan,nan,nan,nan
34,,,,CG-EM1: Ecological Pest and Disease Control,1,13,16,Spraying equipment is maintained in good working order and cleaned in the agrochemical storage or mixing areas after use.,Scorecard,1.0,,,,,,,,,,,,,,,pesticide equipment is maintained,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
35,,,,CG-EM1: Ecological Pest and Disease Control,1,13,17,"Empty chemical containers are rinsed and punctured, or as required by local regulations, and appropriately disposed of to prevent further use or injury.",Scorecard,1.0,,,,,,,,,,empty pesticide containers disposed of properly,,,,,,,,,nan,,,,,CAFE,,,nan,nan,nan,nan,nan
0,,,,Principle 6: Respect Workers Rights and Conditions,6.7,,2.0,"6.7.2 Accident and emergency procedures are in place and instructions are clearly understood by all workers. Accident procedures are available in the appropriate language of the workforce. Assigned operatives trained in first aid are present in both field and other operations, and first aid equipment is available at worksites. Records of all accidents are kept and periodically reviewed. ",Required,,,,,accident and emergency plans,,,,,accident and emergency plans,,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
1,,,,Principle 6: Respect Workers Rights and Conditions,,,,"6.7.3 (C) Workers use appropriate personal protective equipment (PPE), which is provided free of charge to all workers at the place of work to cover all potentially hazardous operations, such as pesticide application, machine operations, land preparation, and harvesting. Sanitation facilities for those applying pesticides are available, so that workers can change out of PPE, wash and put on their personal clothing.",Required,,,,,,,,,,"workers have proper ppe, ppe provided for free, pesticide safety info is available, wash stations for post-application",,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
2,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.1,,1.0,7.1.1 (C) IPM plans are implemented and monitored to ensure effective pest control.,Required,,,,,"ipm plan made, ""minimize use of pesticides""",,,thresholds and monitoring are in ipm plan,,,,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
3,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.1,,2.0,"7.1.2 Species referenced in the Global Invasive Species Database and CABI.org are not to be used in managed areas, unless plans to prevent and monitor their spread are implemented.",Required,,,,do not use listed invasive species,,,,invasive plant monitoring,,,,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
4,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.1,,3.0,"7.1.3 There is no use of fire for pest control unless in exceptional circumstances,i.e. where no other effective methods exist, and with ap prior approval of government authorities. [For NI to define process]",Required,,,,,,,,,,,,,,fire; only as last resort,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
5,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,1.0,"Justification of all pesticides used is demonstrated. Selective products and application methods that are specific to the targetpest, weed or disease are prioritised.",Required,,,,,"selective methods are prioritized, less harmfull methods are considered",,,,all pesticide use justified,,,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
6,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,2.0,"7.2.2 (C) Records of pesticides use (including active ingredients used and their LD50, area treated, amount of activeingredients appliedper ha and number of applications) areprovided.",Required,,,,,,,,,records of all pesticide use,,,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
7,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,3.0,"7.2.3 (C ) Any use of pesticides is minimised as part of a plan, eliminated where possible, in accordance with IPM plans.",Required,,,,,"ipm plan ""being implemented""",,,,records show pesticide use is being minimized,,,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
8,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,4.0,"7.2.4 There is no prophylactic use of pesticides, unless in exceptional circumstances, as identified in national best practice guidelines.",Required,,,,,,,,,,,,prophylactic spraying,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
9,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,5.0,"7.2.5 Pesticides that are categorised as World Health Organisation Class 1A or 1B, or that are listed by the Stockholm or Rotterdam Conventions, and paraquat, are not used,unless inexceptional circumstances,as validated by a due diligence process, or when authorised by government authorities for pest outbreaks",Required,,,,,,,,,,,,,,"who: 1a, 1b,  stockholm, rotterdam,  parquat, . only in extreme circumstances",,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
10,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,6.0,"7.2.6 (C) Pesticides are only handled, used or applied by persons who have completed the necessary training and are always applied inaccordance with the product label. All precautions attached to the products are properly observed, applied, and understood by workers (see Criterion 3.6). Personnel applying pesticides must show evidence of regular updates on the knowledge about the activity they carry out.",Required,,,,,standard procedures for pesticide handling,,workers trained to handle pesticides,,,"workers trained to handle pesticides, workers have proper ppe",,,,,,pesticide applications obey the law,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
11,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,7.0,7.2.7 (C) Storage of all pesticides is in accordance with recognised best practices.,Required,,,,,,,,,,,pesticides are stored safely,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
12,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,8.0,7.2.8 All pesticide containers are properly disposed of and/or handled responsibly if used for other purposes.,Required,,,,,,,,,,,pesticide containers properly diposed of,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
13,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,9.0,"7.2.9 (C) Aerial spraying of pesticides is prohibited, unless in exceptional circumstances where no other viable alternatives are available.This requires prior government authority approval. All relevant information is provided to affected local communities at least 48 hours prior to application of aerial spraying.",Required,,,,,,,,,,,,aerial spraying (exceptions granted),,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
14,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,10.0,"7.2.10 (C) Specific annual medical surveillance for pesticide operators, and documented action to treat related health conditions, is demonstrated.",Required,,,,,,,,,,annual health exams for workers who handle pesticides,,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
15,,,,"Principle 7: Protect, Conserve and Enhance Ecosystems and the Environment",7.2,,11.0,"7.2.11 (C) No work with pesticides is undertaken by persons under the age of 18, pregnant or breast feeding women or other people that have medical restrictions and they are offered alternative equivalent work.",Required,,,,,,,,,,"workers who handle pesticides are not: under 18, pregnant, nursing, diagnosed with an illness",,,,,,,,,,,,,,,RSPO,nan,nan,nan,nan,nan,nan,nan
0,,,,MODULE 2: Fundamental Rights at Work,2.2.2,34,b,"Where children of farmers help their relatives with farming activities, they perform only light work under direct supervision of an adult and they do not engage in hazardous work. Work does not jeopardize schooling",Required,,,,,,,,,,workers who handle pesticides must be: 18 or older,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
1,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.1,46,a,"First aid supplies available shall include materials needed to meet all reasonably foreseeable emergency first aid situations. Supplies are accompanied by clear instructions for use, or someone is present on-site who knows how to use them.",Required,,,,,,,,,,first aid materials are available,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
2,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.1,47,f,"Employers must make information available to workers on the risks associated with any hazardous work, including higher risks associated with certain medical conditions. Workers are not required to perform any w",Required,,,,,,,,,,"workers who handle pesticides must be: without relevant medical conditions, e.g. not pregnant",,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
3,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.1,48,g,Individuals use Personal Protective Equipment (PPE) as appropriate to their tasks and have been trained on its proper use.,Required,,,,,,,workers workers workers trained to use ppe,,,ppe for pesticide applicators,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
4,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.1,48,h,"Personal Protective Equipment (PPE) is functional, regularly maintained, and provided to workers free of charge.",Required,,,,,,,,,,"ppe is free for workers, ppe is maintained",,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
5,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.2,49,a,Workers and farmers are not exposed to hazardous pesticides and fertilizers beyond what is indicated as safe in the manufacturer’s instructions or Safety Data Sheet.,Required,,,,,,,,,,obey pesticide labels as to worker exposure,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
6,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.2,49,b,Workers handling any hazardous pesticides are regularly given free medical examinations by a physician (according to risks and levels of exposure) and are informed of the results privately. Management reviews recommendations resulting from the examination and a remediation plan is put into place if problems are detected.,Scorecard,5.0,,,,,,,,,medical examinations for workers who handle pesticides,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
7,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.2,49,c,"For workers exposed to organophosphates and carbamates, cholinesterase examinations are carried out every six months or as stipulated by law, whichever is more frequent, and they are informed of the results privately. Management reviews recommendations resulting from the examination and a remediation plan is put into place if problems are detected.",Required,,,,,,,,,,medical examinations for workers who handle organophosphates and carbamates,,,,,,,,,,,x,,x,x,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
8,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.3,50,a,"At least once per year, workers and farmers engaged in potentially hazardous work are trained in workplace risks and how to avoid them.",Required,,,,,,,workplace safety training,,,workplace safety training,,,,,,,,,,,x,,x,x,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
9,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.3,50,a,"At least once per year, workers and farmers engaged in potentially hazardous work are trained in workplace risks and how to avoid them.",Scorecard,5.0,,,,,,workplace safety training,,,workplace safety training,,,,,,,,,,,x,x,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
10,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.3,50,b,Risk areas and potential hazards are clearly identified by warning signs.,Scorecard,1.0,,,,,,,,,hazard signs,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
11,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.3,51,c,"Written safety instructions are readily available in languages the workers understand and posted for workers at their work place. Written safety instructions and procedures include details regarding accident prevention and response, including pictures or pictograms where appropriate.",Scorecard,1.0,,,,,,,,,safety instructions are posted,,,,,,,,,,,x,,x,x,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
12,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.3,51,d,"All farmers and workers are aware of the hazards and risks related to pesticide exposure, even if they do not directly handle pesticides.",Scorecard,3.0,,,,,,all workers trained to handle pesticides,,,all workers trained to handle pesticides,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
13,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.4,51,a,"There is a written assessment of workers' occupational risks, and actions are taken to minimize these risks.",Scorecard,1.0,,,,occupational safety assessment,,,,,occupational safety assessment,,,,,,,,,,,x,,x,x,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
14,,,,"MODULE 3: Wages, Working Conditions, and Access to Services",3.2.4,51,b,There are records of all work accidents and related first aid responses.,Scorecard,1.0,,,,,,,,,,,,,,,,,,,,,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
15,,,,"MODULE 4: Biodiversity, Ecosystem Function, and Sustainable Production",4.2.2,76,d,"Buffer zones around protected areas, water bodies, and drinking water sources are maintained. Crop cultivation, fertilizer application, pesticide application, and waste disposal do not occur in buffer zones.",Scorecard,5.0,Only 3 points for large farms,buffer zones where pesticides not sprayed,,,,,,,,,,,,,,,,,,x,,,,Fair Trade USA,nan,nan,nan,nan,nan,nan,nan
