,PRODUCTNAME,EPAREGISTRATIONNUMBER,PESTICIDEFORM,APPROVEDDATE,CANCELTRANSFERDATE,RESTRICTEDUSEPRODUCT,CONDITIONALLYFLAG,SIGNALWORD,ALTBRANDNAMELIST,COMPANY,AGENT,DISTRIBUTORLIST,FORMULATIONLIST,PESTLIST,SITELIST,PRODUCTMANAGERLIST,TRANSFERLIST,TYPESLIST
1743,EVERCIDE TOTAL RELEASE FOGGER 2602,1021-1635,19,1995-09-19, ,F,Y,Caution,,,,,,,,,,
1744,EVERCIDE RESIDUAL INSECTICIDE CONCENTRATE 2662,1021-1641,12,1993-03-26, ,F,Y,Caution,,,,,,,,,,
1745,EVERCIDE INTERMEDIATE 2527,1021-1589,02,1990-12-03, ,F,Y,Danger,,,,,,,,,,
1746,PYRETHRUM CRUDE EXTRACT,1021-2666,02,1971-03-22, ,F,N,Caution,,,,,,,,,,
1747,PYRENONE AND DRI-DIE DUST BASE,1021-2717,02,1971-06-02, ,F,N,Caution,,,,,,,,,,
1748,EVERCIDE PET DIP CONCENTRATE 2464,1021-1552,12,1988-03-07, ,F,Y,Caution,,,,,,,,,,
1749,EVERCIDE TOTAL RELEASE FOGGER 2485,1021-1558,19,1988-11-07, ,F,Y,Caution,,,,,,,,,,
1750,EVERCIDE INTERMEDIATE 2449,1021-1548,02,1988-02-16, ,F,Y,Caution,,,,,,,,,,
1751,EVERCIDE INTERMEDIATE 2417,1021-1545,02,1986-01-14, ,F,Y,Caution,,,,,,,,,,
1752,EVERCIDE PRESSURISED PET AND PLANT SPRAY 2561,1021-1599,19,1991-01-18, ,F,Y,Caution,,,,,,,,,,
1753,NYLAR 10EC,1021-1603,12,1995-09-15, ,F,Y,Caution,,,,,,,,,,
1754,EVERCIDE INTERMEDIATE 2666,1021-1652,02,1996-07-29, ,F,Y,Caution,,,,,,,,,,
1755,EVERCIDE TOTAL RELEASE AEROSOL 2604,1021-1648,19,1995-08-25, ,F,N,Caution,,,,,,,,,,
1756,MGK WASP & HORNET KILLER AEROSOL,1021-1775,19,1995-07-19, ,F,Y,Caution,,,,,,,,,,
1757,INTERCEPT LAWN INSECT GRANULES,1021-2712,04,1996-05-17, ,F,Y,Caution,,,,,,,,,,
1758,EVERCIDE ESFENVALERATE 50% CONCENTRATE,1021-1562,02,1989-05-01, ,F,Y,Warning,,,,,,,,,,
1759,TETRAPERM INSECT KILLER N104 WBA,1021-2694,19,2000-02-22, ,F,Y,Caution,,,,,,,,,,
1760,PREMIUM PYROCIDE 175,1021-24,02,1957-09-20, ,F,N,Caution,,,,,,,,,,
1761,TETRAPERM TOTAL RELEASE INDOOR FOGGER Q4,1021-2640,19,1997-07-14, ,F,Y,Caution,,,,,,,,,,
1762,NYLAR FIRE ANT BAIT 2629,1021-1670,04,1998-07-13, ,F,Y,Caution,,,,,,,,,,
1763,PYROCIDE FLEA & TICK DIP 7407,1021-1602,15,1990-10-01, ,F,Y,Caution,,,,,,,,,,
1764,EVERCIDE RESIDUAL ANT & ROACH SPRAY 2543,1021-1601,19,1994-12-23, ,F,Y,Caution,,,,,,,,,,
1765,TETRAMETHRIN TECHNICAL 95%,1021-2624,01,1982-06-30, ,F,N,Caution,,,,,,,,,,
1766,PYROCIDE FOGGING CONCENTRATE 7338,1021-1424,15,1980-07-01, ,F,Y,Caution,,,,,,,,,,
1767,EVERCIDE PERMETHRIN 80% CONCENTRATE,1021-1411,02,1980-01-22, ,F,Y,Caution,,,,,,,,,,
1768,TECHNICAL PIPERONYL BUTOXIDE,1021-974,01,1968-04-23, ,F,N,Caution,,,,,,,,,,
1769,PYROCIDE FOGGING CONCENTRATE 5628,1021-1177,15,1971-11-26, ,F,N,Caution,,,,,,,,,,
1770,PYROCIDE FOGGING FORMULA 7067 FOR ULV MOSQUITO ADULTICIDING,1021-1199,15,1972-06-21, ,F,Y,Caution,,,,,,,,,,
1771,SYNERGIZED PYRETHRIN INDUSTRIAL SPRAY F-7353,1021-1513,16,1983-01-21, ,F,Y,Caution,,,,,,,,,,
1772,CRUDE PYRETHRUM EXTRACT,1021-1067,02,1969-11-25, ,F,N,Caution,,,,,,,,,,
1773,SYNERGIZED PYRETHRIN HOME AND INDUSTRIAL SPRAY 6631,1021-923,02,1967-07-20, ,F,N,Caution,,,,,,,,,,
1774,PYROCIDE AEROSOL MIX 6451,1021-791,02,1964-08-07, ,F,N,Caution,,,,,,,,,,
1775,PYROCIDE INTERMEDIATE 75-OF,1021-343,02,1955-06-23, ,F,N,Caution,,,,,,,,,,
1776,INTERMEDIATE CONCENTRATE INSECTICIDE,1021-2663,02,1963-06-18, ,F,N,Caution,,,,,,,,,,
1777,MULTICIDE PRESSURIZED SPRAY 2594,1021-1633,19,1995-11-27, ,F,Y,Caution,,,,,,,,,,
1778,MGK DOG & CAT REPELLENT EMULSIFIABLE 2598,1021-1637,02,1995-02-28, ,F,N,Danger,,,,,,,,,,
1779,45% PYRETHRUM CONCENTRATE,1021-1631,02,1993-02-18, ,F,Y,Caution,,,,,,,,,,
1780,PYRAPERM INDUSTRIAL INSECT KILLER WBA P59,1021-2707,19,2000-02-22, ,F,Y,Caution,,,,,,,,,,
1781,PYRAPERM HOUSEHOLD INSECT KILLER WBA P59,1021-2706,19,2000-02-22, ,F,Y,Caution,,,,,,,,,,
1782,MULTICIDE ETOC 90% CONCENTRATE,1021-1621,01,1995-06-20, ,F,Y,Warning,,,,,,,,,,
1783,NYLAR CONCENTRATE 2607,1021-1620,12,1995-09-15, ,F,Y,Caution,,,,,,,,,,
1784,PYRAPERM 7-14-35 CONCENTRATE,1021-2699,02,2000-02-22, ,F,Y,Caution,,,,,,,,,,
1785,PYRAPERM INDUSTRIAL INSECT KILLER WBA P60,1021-2701,19,1993-01-11, ,F,Y,Caution,,,,,,,,,,
1786,PYROCIDE INTERMEDIATE 58,1021-237,02,1954-01-06, ,F,N,Caution,,,,,,,,,,
1787,MGK 264 INSECTICIDE SYNERGIST,1021-88,01,1950-03-15, ,F,N,Caution,,,,,,,,,,
1788,PYROCIDE BOOSTER CONCENTRATE K,1021-60,02,1949-01-13, ,F,N,Caution,,,,,,,,,,
1789,SYNERGIST 264 TECHNICAL FOR MANUFACTURING USE ONLY,1021-2620,01,1967-05-22, ,F,N,Caution,,,,,,,,,,
1790,MULTICIDE INTERMEDIATE 2086,1021-1386,02,1978-06-22, ,F,N,Caution,,,,,,,,,,
1791,PYROCIDE FOGGING CONCENTRATE 7192,1021-1287,15,1973-11-23, ,F,N,Caution,,,,,,,,,,
1792,MULTICIDE SUMITHRIN 90% CONCENTRATE,1021-1383,02,1979-07-14, ,F,Y,Caution,,,,,,,,,,
1793,EVERCIDE WASP AND HORNET SPRAY 2577,1021-1613,19,1994-07-28, ,F,Y,Caution,,,,,,,,,,
1794,ULTRATEC DUST INSECTICIDE,1021-2617,03,1996-04-09, ,F,Y,Caution,,,,,,,,,,
1795,NYLAR 50% CONCENTRATE,1021-1619,01,1995-09-15, ,F,Y,Caution,,,,,,,,,,
1796,EVERCIDE RESIDUAL PRESSURIZED SPRAY 2582,1021-1608,19,1991-02-22, ,F,Y,Caution,,,,,,,,,,
1797,CYPER-ACTIVE 2.14 EC,1021-2626,12,1989-09-08, ,F,Y,Warning,,,,,,,,,,
1798,EVERCIDE INTERMEDIATE 2460,1021-1556,02,1987-11-03, ,F,Y,Caution,,,,,,,,,,
1799,VERATRAN D,1021-2600,06,1983-12-27, ,F,Y,Caution,,,,,,,,,,
1800,MGK PBO 8-E,1021-1511,12,1982-11-23, ,F,Y,Caution,,,,,,,,,,
1801,MULTICIDE INTERMEDIATE 2317,1021-1505,02,1982-04-15, ,F,Y,Caution,,,,,,,,,,
1802,MULTICIDE INTERMEDIATE 2084,1021-1387,02,1978-06-22, ,F,N,Caution,,,,,,,,,,
1803,TETRAPERM (.15-.15-.75) YARD & PATIO WBA,1021-2693,19,1993-08-31, ,F,N,Caution,,,,,,,,,,
1804,EVERCIDE RESIDUAL PRESSURIZED SPRAY 2583,1021-1615,19,1992-04-22, ,F,Y,Caution,,,,,,,,,,
1805,MULTICIDE WASP AND HORNET KILLER 2695,1021-1649,19,1993-06-08, ,F,Y,Caution,,,,,,,,,,
1806,EVERCIDE TOTAL RELEASE FOGGER 2620,1021-1623,19,1995-09-15, ,F,Y,Caution,,,,,,,,,,
1807,EVERCIDE CONCENTRATE 2603,1021-1647,02,1994-05-16, ,F,Y,Caution,,,,,,,,,,
1808,Copper 8-Quinolinolate,1022-597,  ,2019-08-08, ,F,Y,Warning,,,,,,,,,,
1809,22 EXPRESS,1022-596,  ,2018-03-16, ,F,Y,Danger,,,,,,,,,,
1810,WOODGUARD,1022-514,16,1981-02-02, ,F,Y,Caution,,,,,,,,,,
1811,X-LANCE,1022-587,12,2002-05-23, ,F,Y,Caution,,,,,,,,,,
1812,WOODGUARD XL,1022-590,16,2008-12-29, ,F,N,Caution,,,,,,,,,,
1813,PQ-8,1022-595,15,2013-03-27, ,F,N,Danger,,,,,,,,,,
1814,CUSOL-5,1022-593,14,2011-11-18, ,F,Y,Danger,,,,,,,,,,
1815,CUSOL-1,1022-594,16,2011-11-18, ,F,Y,Danger,,,,,,,,,,
1816,PREMIER,1022-585,15,2001-11-21, ,F,Y,Caution,,,,,,,,,,
1817,PQ-80,1022-489,15,1976-07-28, ,F,Y,Danger,,,,,,,,,,
1818,BEE GONE,1022-586,12,2002-03-27, ,F,Y,Caution,,,,,,,,,,
1819,NEXGEN,1022-583,12,1995-03-03, ,F,N,Danger,,,,,,,,,,
1820,STA BRITE P,1022-516,12,1981-07-10, ,F,N,Danger,,,,,,,,,,
1821,TUFF-BRITE,1022-584,15,1996-03-06, ,F,Y,Warning,,,,,,,,,,
1822,STA-BRITE D,1022-546,  ,1988-12-31, ,F,Y,Warning,,,,,,,,,,
1823,TECHNICAL TUFFGARD,1022-582,01,1992-01-09, ,F,N,Danger,,,,,,,,,,
1824,Repel Insect Repellent 30 LE-W,305-64,16,2019-11-12, ,F,N,Caution,,,,,,,,,,
1825,REPEL INSECT REPELLENT 30 LE,305-62,17,2005-10-07, ,F,Y,Warning,,,,,,,,,,
1826,REPEL PERMANONE,305-55,19,1998-07-30, ,F,Y,Caution,,,,,,,,,,
1827,SB-10 SPF 30,305-54,16,1997-09-04, ,F,Y,Warning,,,,,,,,,,
1828,REPEL ESSENTIAL INSECT REPELLENT LOTION,305-56,16,2000-12-08, ,F,Y,Warning,,,,,,,,,,
1829,REPEL ESSENTIAL INSECT REPELLENT PUMP SPRAY,305-57,16,2002-06-20, ,F,Y,Caution,,,,,,,,,,
1830,REPEL 27,305-52,19,1997-01-16, ,F,N,Caution,,,,,,,,,,
1831,REPEL 23,305-50,19,1997-01-16, ,F,N,Caution,,,,,,,,,,
1832,REPEL 25,305-51,19,1997-01-16, ,F,N,Caution,,,,,,,,,,
1833,REPEL 25 RTU,305-61,16,2003-02-21, ,F,Y,Warning,,,,,,,,,,
1834,B-10,305-42,16,1995-01-30, ,F,N,Caution,,,,,,,,,,
1835,SB-10 STUFF,305-41,12,1995-08-09, ,F,Y,Caution,,,,,,,,,,
1836,REPEL 29,305-49,19,1997-01-16, ,F,N,Caution,,,,,,,,,,
1837,BUG STUFF,305-44,16,1992-07-21, ,F,N,Caution,,,,,,,,,,
1838,REPEL 15,305-48,19,1997-01-16, ,F,N,Caution,,,,,,,,,,
1839,CLASSIC FAMILY,305-47,19,1997-11-06, ,F,N,Warning,,,,,,,,,,
1840,CLASSIC SPORTSMEN,305-46,19,1995-11-09, ,F,N,Warning,,,,,,,,,,
1841,REPEL INSECT REPELLENT DEERHUNTER FORMULA,305-28,16,1968-11-14, ,F,N,Warning,,,,,,,,,,
1842,REPEL INSECT REPELLENT TOWELETTE,305-29,10,1981-04-15, ,F,N,Caution,,,,,,,,,,
1843,REPEL 100,305-30,16,1981-09-10, ,F,Y,Warning,,,,,,,,,,
1844,SB-20 SPF 30,305-45,16,1997-01-16, ,F,Y,Warning,,,,,,,,,,
1845,SUN & BUG STUFF,305-43,12,1992-01-14, ,F,Y,Caution,,,,,,,,,,
1846,CHLOR-TECH SANITIZER & CLEANER,1275-27,21,1965-05-24, ,F,N,Danger,,,,,,,,,,
1847,LILLY/MILLER SUPERIOR TYPE SPRAY OIL,802-415,17,1967-06-27, ,F,Y,Caution,,,,,,,,,,
1848,LILLY/MILLER READY-TO-USE BLACKBERRY & BRUSH KILLER,802-596,16,1994-12-20, ,F,Y,Caution,,,,,,,,,,
1849,LILLY MILLER BLACKBERRY & BRUSH KILLER,802-594,15,1994-04-19, ,F,Y,Caution,,,,,,,,,,
1850,LILLY MILLER MOSS-KIL GRANULES,802-591,04,1991-12-04, ,F,N,Danger,,,,,,,,,,
1851,LILLY/MILLER HOSE 'N GO WEED AND FEED,802-586,15,1989-11-13, ,F,Y,Caution,,,,,,,,,,
1852,MILLER'S GARDEN SULPHUR,802-16,07,1948-10-20, ,F,N,Caution,,,,,,,,,,
1853,LILLY/MILLER GRASSHOPPER & EARWIG BAIT,802-493,04,1972-08-29, ,F,N,Caution,,,,,,,,,,
1854,LILLY MILLER CASORON GRANULES,802-536,04,1983-03-28, ,F,Y,Caution,,,,,,,,,,
1855,LILLY/MILLER HOSE 'N GO WEED & GRASS PREVENTER,802-565,15,1987-10-20, ,F,N,Caution,,,,,,,,,,
1856,LILLY/MILLER READY-TO-USE LAWN WEED KILLER,802-580,16,1988-08-11, ,F,Y,Danger,,,,,,,,,,
1857,SUPER RICH FEED & WEED WITH TRIMEC HERBICIDE,802-579,04,1988-07-12, ,F,Y,Caution,,,,,,,,,,
1858,LILLY/MILLER LAWN WEED KILLER,802-485,15,1973-02-09, ,F,N,Danger,,,,,,,,,,
1859,LILLY/MILLER DANDELION KILLER,802-146,15,1955-01-07, ,F,Y,Caution,,,,,,,,,,
1860,LILLY/MILLER MICROCOP FUNGICIDE,802-12,06,1948-10-12, ,F,Y,Warning,,,,,,,,,,
1861,LILLY/MILLER READY-TO-USE MOSS-KIL,802-553,16,1985-06-07, ,F,N,Danger,,,,,,,,,,
1862,LILLY/MILLER MOSS OUT GRANULES,802-558,04,1986-04-21, ,F,N,Danger,,,,,,,,,,
1863,LILLY/MILLER MOSS-KIL,802-508,15,1973-04-25, ,F,N,Danger,,,,,,,,,,
1864,LILLY/MILLER MOSS OUT,802-509,15,1973-04-25, ,F,N,Warning,,,,,,,,,,
1865,LILLY/MILLER ULTRAGREEN MOSS CONTROL LAWN FOOD,802-543,04,1983-01-20, ,F,Y,Caution,,,,,,,,,,
1866,LILLY/MILLER ULTRAGREEN WEED & FEED WITH TRIMEC HERBICIDE,802-588,04,1989-08-03, ,F,Y,Caution,,,,,,,,,,
1867,LILLY/MILLER 5M WEED & FEED,802-597,04,1995-08-24, ,F,Y,Caution,,,,,,,,,,
1868,LILLY/MILLER SUPER RICH LAWN FOOD WITH MOSS CONTROL 15-3-6.,802-504,04,1973-04-25, ,F,N,Caution,,,,,,,,,,
1869,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 EXPEDITION INSECT REPELLENT SPF 30 SUNSCREEN SPRAY VERY WATER RESISTANT UNSCENTED,806-32,16,2007-06-28, ,F,N,Warning,,,,,,,,,,
1870,AVON SSS SKIN-SO-SOFT GENTLE BREEZE BUG GUARD PLUS IR3535 INSECT REPELLENT SPF 30 MOISTURIZING SUNBLOCK LOTION,806-13,16,2000-02-29, ,F,Y,Caution,,,,,,,,,,
1871,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS PICARIDIN INSECT REPELLENT AEROSOL SPRAY,806-29,19,2005-08-29, ,F,Y,Caution,,,,,,,,,,
1872,AVON SSS SKIN-SO-SOFT BUG GUARD PLUS IR3535 INSECT REPELLENT SPF 30 MOISTURIZING SUNBLOCK LOTION COOL 'N FABULOUS,806-14,16,2000-02-29, ,F,Y,Caution,,,,,,,,,,
1873,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 INSECT REPELLENT SPRAY GENTLE BREEZE,806-17,16,2002-04-12, ,F,Y,Warning,,,,,,,,,,
1874,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 INSECT REPELLENT SPF 15 SUNSCREEN SPRAY GENTLE BREEZE,806-18,16,2002-04-12, ,F,Y,Warning,,,,,,,,,,
1875,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 EXPEDITION INSECT REPELLENT SPF 30 SUNSCREEN SPRAY VERY WATER RESISTANT GENTLE BREEZE,806-33,16,2007-06-28, ,F,N,Warning,,,,,,,,,,
1876,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS PICARIDIN INSECT REPELLENT SPRAY,806-31,16,2006-09-28, ,F,Y,Warning,,,,,,,,,,
1877,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS PICARIDIN INSECT REPELLENT TOWELETTE(S),806-30,10,2006-09-28, ,F,Y,Caution,,,,,,,,,,
1878,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 INSECT REPELLENT UNSCENTED,806-27,16,2005-07-22, ,F,N,Warning,,,,,,,,,,
1879,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 INSECT REPELLENT MOUSSE GENTLE BREEZE SPF 28 SUNSCREEN WATER RESISTANT (80 MINUTES),806-26,16,2005-01-14, ,F,Y,Caution,,,,,,,,,,
1880,AVON SKIN-SO-SOFT BUG GUARD PLUS IR3535 INSECT REPELLENT GENTLE BREEZE SPF 15 SUNSCREEN GEL,806-25,16,2005-01-14, ,F,Y,Warning,,,,,,,,,,
1881,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 INSECT REPELLENT SPF 15 SUNSCREEN,806-24,16,2004-10-15, ,F,N,Warning,,,,,,,,,,
1882,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 ACTIVE INSECT REPELLENT GENTLE BREEZE TOWELETTES,806-23,10,2004-02-27, ,F,N,Warning,,,,,,,,,,
1883,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 ACTIVE INSECT REPELLENT GENTLE BREEZE TOWELETTES SPF 15 ,806-22,10,2004-02-27, ,F,N,Warning,,,,,,,,,,
1884,AVON SKIN-SO-SOFT SSS BUG GUARD PLUS IR3535 EXPEDITION INSECT REPELLENT SPRAY,806-21,16,2003-02-21, ,F,N,Warning,,,,,,,,,,
1885,AVON SKIN-SO-SOFT BUG GUARD PLUS IR3535 EXPEDITION INSECT REPELLENT,806-20,19,2002-11-12, ,F,N,Warning,,,,,,,,,,
1886,CIP 200 Acid-Based Cleaner and Disinfectant,1043-135,  ,2020-07-20, ,F,Y,Danger,,,,,,,,,,
1887,Septihol Ethyl WFI st Alcohol Solution,1043-133,16,2019-04-12, ,F,N,Warning,,,,,,,,,,
1888,ProKlenz TWO Acid Cleaner and Disinfecant,1043-134,15,2019-11-05, ,F,N,Danger,,,,,,,,,,
1889,Vesphene IIIse Phenolic Disinfectant,1043-128,  ,2017-09-20, ,F,Y,Danger,,,,,,,,,,
1890,Vesta-Syde SQ 128 Ready-To-Use Disinfectant,1043-130,16,2017-12-21, ,F,Y,Caution,,,,,,,,,,
1891,SPOR-KLENZ Ready-To-Use Disinfectant Wipes,1043-131,  ,2018-06-27, ,F,Y,Danger,,,,,,,,,,
1892,LpH III se Phenolic Disinfectant,1043-127,12,2017-07-10, ,F,Y,Danger,,,,,,,,,,
1893,VESTA-SYDE SQ 64 READY-TO-USE DISINFECTANT,1043-129,16,2017-12-13, ,F,Y,Caution,,,,,,,,,,
1894,Septihol st Alcohol Solution,1043-132,16,2018-12-17, ,F,Y,Warning,,,,,,,,,,
1895,VESTA-SYDE SQ QUATERNARY AMMONIUM DISINFECTANT,1043-126,15,2011-12-14, ,F,Y,Danger,,,,,,,,,,
1896,VAPROX 59 HYDROGEN PEROXIDE STERILANT,1043-123,10,2007-11-23, ,F,N,Danger,,,,,,,,,,
1897,HASTE-SSD-COMPONENT B,1043-124,21,2010-06-29, ,F,N,Caution,,,,,,,,,,
1898,HASTE -SSD - COMPONENT A,1043-125,21,2010-06-29, ,F,N,Caution,,,,,,,,,,
1899,PROKLENZ ONE,1043-122,15,2007-03-29, ,F,N,Danger,,,,,,,,,,
1900,SPOR-KLENZ CONCENTRATE,1043-120,15,2005-09-26, ,F,Y,Danger,,,,,,,,,,
1901,SPOR-KLENZ READY TO USE,1043-119,16,2005-09-26, ,F,Y,Danger,,,,,,,,,,
1902,PROCESS QDS,1043-104,15,1987-09-08, ,F,Y,Danger,,,,,,,,,,
1903,LPH MASTER PRODUCT,1043-91,15,1987-06-17, ,F,Y,Danger,,,,,,,,,,
1904,VESPHENE II SE,1043-87,15,1986-08-27, ,F,Y,Danger,,,,,,,,,,
1905,PROCESS NPD,1043-90,15,1986-02-10, ,F,Y,Danger,,,,,,,,,,
1906,LPH SE,1043-92,15,1987-06-17, ,F,Y,Danger,,,,,,,,,,
1907,BIORID 40I,2214-13,15,1998-11-25, ,F,Y,Caution,,,,,,,,,,
1908,BIORID 46I,2214-12,16,1998-11-04, ,F,Y,Caution,,,,,,,,,,
1909,BIORID 43I,2214-15,15,1999-07-21, ,F,Y,Caution,,,,,,,,,,
1910,BIORID 38I,2214-14,15,1999-08-25, ,F,Y,Caution,,,,,,,,,,
1911,EH-1636 Herbicide,2217-1052,15,2019-11-26, ,F,Y,Danger,,,,,,,,,,
1912,EF-715 FUNGICIDE,2217-1050,  ,2019-09-18, ,F,N,Caution,,,,,,,,,,
1913,EF-716 FUNGICIDE,2217-1049,  ,2019-09-18, ,F,N,Caution,,,,,,,,,,
1914,EH-1641 Herbicide,2217-1054,  ,2020-04-01, ,F,N,Caution,,,,,,,,,,
1915,EH-1681 Herbicide,2217-1053,  ,2020-05-15, ,F,Y,Caution,,,,,,,,,,
1916,EH-1633 Herbicide,2217-1051,  ,2019-10-04, ,F,Y,Caution,,,,,,,,,,
1917,EH-1579 ORP Granule,2217-1022,04,2018-12-06, ,F,Y,Caution,,,,,,,,,,
1918,EH-1579 GRANULE,2217-1025,04,2018-12-06, ,F,Y,Caution,,,,,,,,,,
1919,EH-1580 ORP Weed And Feed,2217-1023,04,2018-12-06, ,F,Y,Caution,,,,,,,,,,
1920,EH-1624 HERBICIDE,2217-1034,15,2018-01-11, ,F,Y,Caution,,,,,,,,,,
1921,EH-1566 ORP Granule,2217-1024,04,2018-12-06, ,F,N,Caution,,,,,,,,,,
1922,EF-713 FUNGICIDE,2217-1020,14,2017-08-24, ,F,Y,Caution,,,,,,,,,,
1923,EF-714 FUNGICIDE,2217-1019,14,2017-08-24, ,F,Y,Caution,,,,,,,,,,
1924,EH-1566 GRANULE,2217-1021,04,2018-12-06, ,F,N,Caution,,,,,,,,,,
1925,EH-1580 WEED AND FEED,2217-1026,12,2018-12-06, ,F,Y,Caution,,,,,,,,,,
1926,EH-1458 SPD Herbicide,2217-1045,15,2018-02-22, ,F,Y,Caution,,,,,,,,,,
1927,EH-1603 CONSUMER HERBICIDE GRANULE,2217-1048,04,2018-08-02, ,F,Y,Caution,,,,,,,,,,
1928,EH-1601 HERBICIDE,2217-1029,15,2017-10-10, ,F,Y,Caution,,,,,,,,,,
1929,EH-1610 HERBICIDE,2217-1028,15,2017-10-10, ,F,Y,Danger,,,,,,,,,,
1930,GORDON'S TRI-GUARD,2217-793,04,1993-09-07, ,F,Y,Caution,,,,,,,,,,
1931,EH-1448 SPD Herbicide,2217-1046,16,2018-02-22, ,F,Y,Caution,,,,,,,,,,
1932,EH-1414 Weed & Feed B,2217-1047,04,2018-02-21, ,F,Y,Caution,,,,,,,,,,
1933,EH-1492 CONSUMER,2217-1017,  ,2016-08-17, ,F,Y,Warning,,,,,,,,,,
1934,EH-1599 HERBICIDE,2217-1033,15,2017-10-25, ,F,Y,Caution,,,,,,,,,,
1935,EH-1619 HERBICIDE,2217-1032,15,2017-10-25, ,F,Y,Caution,,,,,,,,,,
1936,EH-1620 HERBICIDE,2217-1031,15,2017-10-25, ,F,Y,Caution,,,,,,,,,,
1937,EH-1618 HERBICIDE,2217-1030,15,2017-10-25, ,F,Y,Caution,,,,,,,,,,
1938,Pyrimisulfan Technical,2217-1027,01,2018-12-06, ,F,N,Caution,,,,,,,,,,
1939,EH-1594 HERBICIDE,2217-1018,09,2017-08-25, ,F,N,Danger,,,,,,,,,,
1940,EH-1557-ORP,2217-1004,04,2015-04-08, ,F,N,Caution,,,,,,,,,,
1941,EH-1556 WEED & FEED,2217-1002,04,2015-04-08, ,F,N,Caution,,,,,,,,,,
1942,EH-1556 ORP,2217-1001,04,2015-04-08, ,F,N,Caution,,,,,,,,,,
1943,MECOPROP-P 98 TECHNICAL (EH-1583),2217-1013,16,2016-03-21, ,F,Y,Danger,,,,,,,,,,
1944,EH-1554 ORP,2217-1000,04,2015-02-23, ,F,N,Caution,,,,,,,,,,
1945,EH-1554 WEED & FEED,2217-999,25,2015-02-23, ,F,N,Caution,,,,,,,,,,
1946,EH-1567 HERBICIDE,2217-1015,15,2016-03-30, ,F,Y,Caution,,,,,,,,,,
1947,EH-1568 HERBICIDE ,2217-1014,15,2016-03-30, ,F,Y,Caution,,,,,,,,,,
1948,EI-801 INSECTICIDE ,2217-1016,15,2016-04-12, ,F,Y,Caution,,,,,,,,,,
1949,EH-1573 HERBICIDE,2217-1010,  ,2015-09-22, ,F,Y,Caution,,,,,,,,,,
1950,EH-1574 HERBICIDE,2217-1009,16,2015-09-22, ,F,Y,Caution,,,,,,,,,,
1951,EH-1552 HERBICIDE,2217-996,15,2014-10-14, ,F,N,Caution,,,,,,,,,,
1952,EH-1557 WEED & FEED,2217-1003,04,2015-04-08, ,F,N,Caution,,,,,,,,,,
1953,EH-1551 HERBICIDE,2217-1005,15,2015-06-11, ,F,Y,Caution,,,,,,,,,,
1954,EH-1571 HERBICIDE,2217-1012,15,2015-11-05, ,F,Y,Caution,,,,,,,,,,
1955,EH-1572 HERBICIDE,2217-1011,15,2015-11-05, ,F,Y,Caution,,,,,,,,,,
1956,EH 1520 HERBICIDE,2217-974,12,2012-11-15, ,F,N,Caution,,,,,,,,,,
1957,EH 1541 HERBICIDE,2217-986,15,2013-11-21, ,F,N,Caution,,,,,,,,,,
1958,EH-1525 HERBICIDE,2217-977,16,2013-01-15, ,F,N,Caution,,,,,,,,,,
1959,EH 1533 HERBICIDE,2217-981,12,2013-09-03, ,F,Y,Caution,,,,,,,,,,
1960,EH-1547 HERBICIDE,2217-1007,19,2015-07-27, ,F,Y,Caution,,,,,,,,,,
1961,EH-1546 HERBICIDE,2217-1006,19,2015-07-27, ,F,Y,Caution,,,,,,,,,,
1962,EH 1529 HERBICIDE,2217-995,12,2014-06-10, ,F,N,Caution,,,,,,,,,,
1963,EH 1507 HERBICIDE,2217-994,15,2014-09-10, ,F,N,Danger,,,,,,,,,,
1964,EH-1505 HERBICIDE,2217-993,15,2014-08-01, ,F,N,Danger,,,,,,,,,,
1965,EH 1532 HERBICIDE,2217-980,12,2013-08-26, ,F,N,Caution,,,,,,,,,,
1966,EH-1531 HERBICIDE,2217-979,12,2013-08-26, ,F,N,Caution,,,,,,,,,,
1967,EH-1523 ORP,2217-992,15,2014-02-27, ,F,N,Caution,,,,,,,,,,
1968,EH-1538 HERBICIDE,2217-983,15,2013-08-08, ,F,N,Warning,,,,,,,,,,
1969,EH-1548 HERBICIDE,2217-998,12,2015-01-15, ,F,Y,Warning,,,,,,,,,,
1970,EH 1534 HERBICIDE,2217-982,12,2013-08-26, ,F,N,Caution,,,,,,,,,,
1971,EH-1558 WEED AND FEED,2217-997,04,2014-08-11, ,F,N,Caution,,,,,,,,,,
1972,EH 1509 HERBICIDE,2217-971,12,2012-08-28, ,F,N,Danger,,,,,,,,,,
